fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231122 224754	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.252490708369878	0.65871893214673	751	10023	12391	143886868.065967	1
20231122 225306	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.115564130772254	0.744059879369161	673	25025	13210	146188090.954523	2
20231122 230525	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	551	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.185009493858088	0.258255272328242	432	46913	10505	152840872.063968	3
20231122 231314	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.270944953024155	0.362018736463797	809	7708	11132	143957319.34033	4
20231122 232318	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	143	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.105103890352184	0.446528180590249	338	21647	11778	155518597.701149	5
20231122 233359	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	116	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0412347724725259	0.538816707748338	262	40738	13974	150729086.456772	6
20231122 234159	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.23507433023653	0.432040602527413	525	27774	12672	150613161.41929	7
20231122 235007	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	272	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.13062636575487	0.191361096800247	986	29844	11783	155998400.29985	8
20231122 235533	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.155358159349416	0.896841175678855	28	32483	11649	154376100.449775	9
20231123 000449	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	251	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.163735166378319	0.602246884096967	515	38355	10989	150468764.117941	10
20231123 001600	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	449	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0657127080380451	0.952957973223965	615	15753	13061	152846763.118441	11
20231123 002125	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.223881420420366	0.805863393146283	935	15519	10987	137978336.331834	12
20231123 003011	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	276	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.2832175122638	0.248855823242193	137	36781	11140	152594612.693653	13
20231123 003504	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	288	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0814455942955101	0.0211922781560861	893	783	11916	143462582.708646	14
20231123 004529	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	589	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0245601200399688	0.116415573691629	207	46786	14324	152270030.984508	15
