fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	neg_bagging_fraction	estimulos	ganancia	iteracion_bayesiana
20231127 113031	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.116453099865932	0.413163523848983	345	13344	0.406151778197265	11953	156701793.603198	1
20231127 113739	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	404	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.133486796832178	0.684052732383134	719	39948	0.288894558937522	10340	157950714.642679	2
20231127 114234	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.17084236912569	0.246974960448686	160	27300	0.125625086030457	12358	146817118.44078	3
20231127 114918	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.231005450571421	0.302398767538252	860	23568	0.55424622236297	10851	160832885.057471	4
20231127 115451	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	109	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0266823076740839	0.775464287629118	589	43621	0.637698503406951	14284	147959206.396802	5
20231127 120335	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	455	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.214959835070651	0.722043145905365	789	16304	0.238711071830709	10419	146733086.956522	6
20231127 121138	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1340	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.279450105021242	0.0217973215195816	558	27717	0.341393399119959	10256	146022812.593703	7
20231127 121911	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	162	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.248446338962763	0.342144162848243	466	19281	0.752138609113172	11669	155340148.425787	8
20231127 122814	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	211	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.289764053041115	0.481002956318553	170	49632	0.217155331190559	11551	152751995.502249	9
20231127 123425	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	279	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.13002559134597	0.966346144019975	952	32527	0.775549615586991	10227	155737276.861569	10
20231127 124237	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	647	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.072512002850417	0.109562393824337	407	21202	0.596571254977724	11438	156673370.314843	11
20231127 125705	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	287	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0608473999374546	0.923269893483492	697	2371	0.0112653641200159	11501	156351730.634683	12
20231127 130433	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.101452534715645	0.568212014273857	445	35488	0.161325227802619	13398	150474609.695152	13
20231127 132742	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1547	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0427092504031025	0.358772368636215	14	4538	0.884519806719269	12075	158682216.391804	14
